REF_AREA,MEASURE,UNIT_MEASURE,AGE,SEX,EDUCATION_LEVEL,INCOME_GROUP,EMP_STATUS,TIME_PERIOD,OBS_VALUE,BREAKDOWN_V7_HH,V7 Breakdowns households
FRA,H1H_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,71.18719999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1G_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,85.0005,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,65.1695,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1D_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,66.506,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F1B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,66.6359,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,51.5534,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1E_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,76.8889,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,I8_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,42.2506,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1F_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,82.9876,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2B1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,18.9862,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4I_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,1.2759,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4G_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,1.161,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2H4_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,12.6488,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1M_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,10.2767,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,C5B1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,93.8661,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,C5A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,97.8779,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1O_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,14.3599,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2I_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,9.4887,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2J_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,25.209,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,C5B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,97.5728,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,57.7533,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1K_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,10.1268,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I7C_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,62.45230000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I7D_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,38.9545,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,75.04429999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F2C_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,14.1071,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,65.57260000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2N1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,32.5535,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2M_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,13.6952,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2H1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,22.794600000000003,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2N2_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,9.0235,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2C_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,17.9289,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,49.9124,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1E_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,73.0813,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,60.8301,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,93.5982,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I9_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,28.5783,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2DBIS_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,12.2996,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,89.26469999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1H_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,68.6422,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1H_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,58.4059,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2A2_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,14.9867,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1G_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,76.1776,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I7A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,53.6769,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1D_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,42.883,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2H2_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,13.2791,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1U_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,21.9831,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1I_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,58.8283,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4J_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,2.3928000000000003,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2H3_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,20.0013,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2G_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,25.445,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,52.8871,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2A1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,25.1367,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F2B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,6.647500000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F1B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,46.4501,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F2_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,76.7481,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1G_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,74.90010000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1T_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,74.4885,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4F_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,1.8823,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1C_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,47.1608,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I7B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,40.2265,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I8_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,56.6694,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F2A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,37.569599999999994,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2B1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,21.8475,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1X_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,50.8393,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,97.3966,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F4G_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,1.0963,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2I_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,14.3383,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2G_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,22.4643,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1C_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,40.0646,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,C5B1_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,96.8871,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1T_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,90.1382,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1K_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,11.7513,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,C5B_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,99.1587,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F4F_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,0.8548,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,C5A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,99.3155,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F4A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,33.7911,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,I7B_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,47.1779,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1I_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,61.0449,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F2_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,96.869,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,I7A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,77.61749999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F2B_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,34.3116,I_HI,Individuals aged 16-74 with a high level of educational attainment
